Speaker,Dialogue
first draft,"MARCH 27, 2000"
2.,INT. ARMY HELICOPTER  -- SUNRISE
pilot,"Holy shit, that's live fire!"
styles,Who's shooting at them-
pilot,I can't see-
styles,"That was one of their own, he just Shot one of their own men-"
pilot,Who was trying to shoot them-
styles,Get us on the ground!
bigger man,Are you ready for this?
3.,"HARDY Tell the truth, Vic. You made these with a blender, right? He grins and we get our first good look at TOM HARDY - Three day stubble, dark rings around his eyes, but a with strong jaw and steady voice. Not your average barfly. Somebody who maybe used to be somebody. BARTENDER Don't like 'em, don't eat 'em, don't make no damn difference to me. HARDY You know that was like a quadruple negative? The Bartender takes the plate away from him. HARDY Can I at least have a drink? BARTENDER It's ten thirty in the morning. HARDY Yeah, if you've slept. BARTENDER You know the law - no liquor before noon. Could lose my license. HARDY Don't you mean ""don't need no liquor license not taken away from me""? The Bartender smiles. BARTENDER Hurricane kept you up, too? HARDY Yeah, and I could've used the sleep. I'm supposed to meet people here tonight, try and get some work going. He stops, his attention suddenly on the TV.    A NEWSCASTER: NEWSCASTER ...is expected to announce the grand jury indictments in the Guissepe Torres police corruption case as early as tomorrow afternoon. Speculations abound that up to ten former homicide detectives could be named in the proceedings-"
4.,"The Bartender turns the TV off hastily.   Embarrassed: BARTENDER Sorry. Hardy just looks away. The Bartender puts an empty glass down and fills it to the lip with bourbon. Hardy nods a ""thank you"" and reaches for the glass when the PAGER on his hip goes off. He checks the number. HARDY Bill Styles... BARTENDER Who? HARDY Old friend. Haven't talked to him in- 911. Can I use your phone? The Bartender hands him a cordless and Hardy dials. HARDY Hey, Bill, it's Tom. Long time no. . . whoa, whoa, slow down. Yeah... yeah, of course I'll come. An hour. He hangs up and hands the phone back to the Bartender. BARTENDER What was that? Hardy, obviously shaken by the call. HARDY I gotta go out to McKinley. EXT. FORT MCKINLEY -- MORNING Establishing. A sprawling five square mile compound nestled in the Louisiana backwoods. Also damaged by the Hurricane. HELICOPTERS loaded with emergency supplies land and take off, REPAIR CREWS work feverishly on damaged buildings, all while CADET PLATOONS complete morning drills around them. This is still a boot camp after all. SUPERIMPOSE: 1130 HOURS - FORT MCKINLEY BASIC TRAINING CENTER EXT. FORT MCKINLEY -- MAIN GATE -- MORNING Styles stands waiting nervously just beyond the CHECKPOINT with WARRANT OFFICER JULIA OSBORNE - early 30's, attractive, close cropped hair and icy eyes. In the middle of protesting."
5.,"OSBORNE This is totally unnecessary- STYLES He asked to see a policeman, we're getting him a policeman . OSBORNE But this guy you called, he's not even Army- STYLES He's former Army and the best I've ever seen in a room. Besides, he knows the territory, we did Basic together here.  I read about what's been happening With you... I should have called- HARDY What kind of trouble are you in? Styles looks at the ground.      Momentarily flustered. HARDY That bad? STYLES Would I have called you if it wasn't? If there was any other way-"
