term	arousal	dominance	valence
aaaaaaah	0.606	0.291	0.479
aaaah	0.636	0.282	0.52
aardvark	0.49	0.437	0.427
aback	0.407	0.288	0.385
abacus	0.276	0.485	0.51
abalone	0.48	0.412	0.5
abandon	0.519	0.245	0.052
abandoned	0.481	0.13	0.046
abandonment	0.43	0.202	0.128
abashed	0.644	0.307	0.177
abate	0.696	0.604	0.255
abatement	0.338	0.336	0.388
abba	0.5	0.48	0.562
abbey	0.367	0.444	0.58
abbot	0.321	0.483	0.427
abbreviate	0.375	0.33	0.531
abbreviation	0.306	0.345	0.469
abdomen	0.462	0.471	0.469
abdominal	0.456	0.445	0.49
abduct	0.72	0.615	0.173
abduction	0.99	0.673	0.062
aberrant	0.765	0.431	0.146
aberration	0.816	0.417	0.125
abeyance	0.51	0.292	0.33
abhor	0.602	0.349	0.125
abhorrence	0.684	0.42	0.167
abhorrent	0.75	0.474	0.229
abide	0.354	0.705	0.635
abiding	0.327	0.75	0.796
ability	0.51	0.816	0.875
abject	0.59	0.417	0.354
ablation	0.5	0.5	0.418
ablaze	0.847	0.525	0.24
able	0.5	0.81	0.786
abnormal	0.604	0.309	0.137
abnormality	0.655	0.383	0.092
aboard	0.284	0.481	0.698
abode	0.302	0.5	0.62
abolish	0.615	0.529	0.448
abolition	0.69	0.529	0.323
abominable	0.731	0.482	0.12
abominate	0.788	0.366	0.198
abomination	0.755	0.518	0.078
aboriginal	0.427	0.542	0.448
abort	0.686	0.429	0.153
abortion	0.77	0.283	0.082
abortive	0.776	0.28	0.09
abound	0.49	0.681	0.704
abovementioned	0.298	0.509	0.541
abracadabra	0.632	0.434	0.673
abrasion	0.592	0.441	0.406
abrasive	0.61	0.593	0.392
abreast	0.38	0.519	0.635
abroad	0.596	0.561	0.677
abrogate	0.51	0.594	0.327
abrupt	0.819	0.545	0.271
abruptly	0.808	0.556	0.25
abscess	0.451	0.349	0.154
absence	0.235	0.266	0.153
absent	0.221	0.116	0.177
absentee	0.33	0.279	0.235
absenteeism	0.273	0.357	0.404
absinthe	0.51	0.462	0.481
absolute	0.51	0.827	0.526
absolution	0.5	0.664	0.715
absolve	0.449	0.66	0.684
absorb	0.558	0.67	0.469
absorbed	0.471	0.519	0.49
absorbent	0.394	0.718	0.552
absorbing	0.49	0.578	0.49
absorption	0.422	0.446	0.609
abstain	0.385	0.427	0.385
abstention	0.264	0.509	0.271
abstinence	0.392	0.429	0.26
abstract	0.292	0.444	0.438
abstraction	0.439	0.525	0.469
absurd	0.656	0.284	0.188
absurdity	0.528	0.227	0.115
abundance	0.69	0.852	0.812
abundant	0.59	0.76	0.958
abuse	0.873	0.469	0.071
abused	0.874	0.235	0.021
abusive	0.903	0.567	0.125
abutment	0.265	0.616	0.5
aby	0.452	0.368	0.385
abysmal	0.71	0.598	0.25
abyss	0.725	0.296	0.353
academic	0.42	0.812	0.781
academy	0.473	0.792	0.704
accede	0.51	0.537	0.698
accelerant	0.844	0.802	0.643
accelerate	0.902	0.759	0.615
accelerated	0.812	0.682	0.61
acceleration	0.905	0.843	0.704
accelerator	0.83	0.812	0.593
accent	0.357	0.509	0.598
accentuate	0.556	0.667	0.673
accept	0.286	0.565	0.847
acceptable	0.286	0.583	0.812
acceptance	0.287	0.755	0.833
acceptances	0.413	0.648	0.847
access	0.472	0.567	0.714
accessible	0.41	0.645	0.796
accession	0.383	0.636	0.612
accessory	0.292	0.445	0.562
accident	0.908	0.336	0.125
accidental	0.784	0.307	0.319
accidentally	0.741	0.333	0.333
acclaim	0.809	0.718	0.562
accolade	0.591	0.775	0.688
accommodate	0.375	0.566	0.844
accommodation	0.415	0.587	0.817
accompaniment	0.479	0.695	0.74
accompany	0.406	0.585	0.833
accompanying	0.46	0.582	0.787
accomplice	0.58	0.51	0.408
accomplish	0.673	0.816	0.929
accomplished	0.52	0.798	0.87
accomplishment	0.694	0.888	0.917
accord	0.264	0.382	0.898
accordance	0.349	0.6	0.659
accordion	0.49	0.361	0.604
account	0.347	0.472	0.531
accountability	0.537	0.833	0.755
accountable	0.282	0.777	0.709
accountant	0.45	0.639	0.625
accounting	0.39	0.677	0.552
accounts	0.34	0.471	0.592
accredited	0.479	0.768	0.669
accretion	0.519	0.672	0.448
accrue	0.481	0.602	0.52
accueil	0.451	0.47	0.45
accumulate	0.536	0.607	0.573
accumulation	0.527	0.6	0.479
accuracy	0.481	0.802	0.604
accurate	0.36	0.737	0.743
accursed	0.745	0.345	0.135
accusation	0.718	0.564	0.073
accusative	0.755	0.482	0.198
accuse	0.752	0.5	0.133
accused	0.67	0.42	0.13
accuser	0.779	0.615	0.122
accusing	0.745	0.324	0.156
accustomed	0.365	0.441	0.542
ace	0.481	0.546	0.643
acetic	0.42	0.519	0.333
acetylene	0.469	0.509	0.306
ache	0.76	0.312	0.146
achieve	0.545	0.843	0.816
achieved	0.519	0.775	0.896
achievement	0.808	0.759	0.896
aching	0.88	0.348	0.053
achy	0.84	0.373	0.167
acid	0.642	0.566	0.265
acidity	0.663	0.36	0.156
acknowledge	0.37	0.661	0.786
acknowledged	0.443	0.765	0.714
acknowledgement	0.539	0.83	0.819
acknowledgment	0.528	0.777	0.796
acme	0.435	0.375	0.408
acne	0.474	0.308	0.167
acorn	0.198	0.192	0.448
acoustic	0.462	0.536	0.542
acoustics	0.33	0.509	0.611
acquaint	0.491	0.639	0.646
acquaintance	0.29	0.67	0.656
acquainted	0.358	0.632	0.906
acquiescence	0.48	0.554	0.542
acquire	0.468	0.7	0.833
acquiring	0.51	0.817	0.735
acquisition	0.509	0.736	0.698
acquisitions	0.66	0.79	0.773
acquit	0.571	0.611	0.583
acquittal	0.497	0.7	0.76
acre	0.387	0.423	0.583
acreage	0.45	0.528	0.741
acres	0.363	0.5	0.51
acrobat	0.828	0.602	0.708
acrylic	0.279	0.42	0.582
act	0.704	0.735	0.656
acting	0.643	0.5	0.698
action	0.898	0.802	0.76
action figure	0.774	0.611	0.615
actionable	0.702	0.613	0.673
activate	0.65	0.806	0.764
activation	0.8	0.754	0.781
active	0.73	0.731	0.847
activist	0.653	0.877	0.531
activity	0.66	0.807	0.701
actor	0.561	0.629	0.653
actress	0.556	0.596	0.633
actual	0.4	0.716	0.729
actuality	0.464	0.6	0.75
actuary	0.404	0.491	0.51
acuity	0.378	0.741	0.469
acumen	0.66	0.679	0.564
acupuncture	0.324	0.549	0.531
acute	0.652	0.534	0.427
acutely	0.543	0.491	0.417
ad	0.705	0.558	0.521
adage	0.415	0.566	0.517
adamant	0.529	0.575	0.344
adapt	0.355	0.551	0.74
adaptable	0.423	0.641	0.735
adaptation	0.365	0.609	0.663
add	0.49	0.554	0.728
added	0.405	0.509	0.562
addendum	0.37	0.418	0.392
adder	0.461	0.588	0.388
addict	0.696	0.327	0.075
addicted	0.712	0.483	0.156
addiction	0.806	0.42	0.18
addictive	0.683	0.472	0.302
addition	0.373	0.471	0.562
additional	0.462	0.526	0.673
additive	0.633	0.691	0.561
address	0.327	0.567	0.65
addressee	0.382	0.538	0.622
addresses	0.354	0.45	0.51
adept	0.539	0.789	0.594
adequacy	0.435	0.702	0.615
adequate	0.264	0.705	0.854
adhere	0.339	0.554	0.633
adherence	0.307	0.63	0.76
adherent	0.385	0.555	0.561
adhering	0.561	0.537	0.612
adhesion	0.445	0.586	0.521
adhesive	0.35	0.413	0.604
adieu	0.471	0.342	0.25
adipose	0.35	0.391	0.333
adjacency	0.417	0.375	0.365
adjacent	0.276	0.536	0.645
adjective	0.316	0.569	0.57
adjoining	0.4	0.393	0.52
adjourn	0.456	0.475	0.385
adjournment	0.51	0.37	0.438
adjudicate	0.52	0.683	0.559
adjudication	0.462	0.691	0.551
adjunct	0.44	0.426	0.459
adjust	0.327	0.638	0.647
adjuster	0.54	0.76	0.51
adjustment	0.52	0.661	0.59
adjuvant	0.5	0.456	0.51
admin	0.42	0.854	0.688
administer	0.425	0.86	0.635
administration	0.404	0.786	0.625
administrative	0.415	0.579	0.542
administrator	0.48	0.902	0.538
admirable	0.6	0.87	0.929
admiral	0.49	0.847	0.844
admiralty	0.547	0.733	0.594
admiration	0.583	0.726	0.969
admire	0.692	0.704	0.867
admired	0.56	0.815	0.917
admirer	0.72	0.65	0.796
admiring	0.578	0.629	0.867
admissibility	0.58	0.602	0.802
admissible	0.528	0.642	0.78
admission	0.415	0.732	0.802
admit	0.423	0.667	0.538
admittance	0.451	0.598	0.69
admitted	0.49	0.767	0.72
admitting	0.5	0.546	0.62
admixture	0.375	0.438	0.45
admonition	0.606	0.455	0.357
ado	0.423	0.385	0.52
adobe	0.319	0.328	0.5
adolescence	0.694	0.444	0.487
adolescent	0.68	0.509	0.781
adopt	0.612	0.701	0.694
adoption	0.566	0.589	0.625
adoptive	0.469	0.52	0.531
adorable	0.519	0.457	0.969
adoration	0.699	0.708	0.885
adore	0.438	0.657	0.854
adoring	0.62	0.717	0.885
adorn	0.424	0.482	0.91
adornment	0.373	0.377	0.918
adrenalin	0.92	0.786	0.865
adrenaline	0.965	0.825	0.765
adrift	0.486	0.23	0.398
adult	0.491	0.787	0.815
adulterated	0.865	0.37	0.188
adulterer	0.814	0.407	0.229
adultery	0.922	0.51	0.12
adulthood	0.454	0.652	0.541
advance	0.472	0.858	0.673
advanced	0.623	0.797	0.844
advancement	0.65	0.839	0.776
advancing	0.608	0.812	0.929
advantage	0.548	0.859	0.917
advantageous	0.64	0.789	0.837
advent	0.56	0.627	0.665
adventure	0.857	0.71	0.917
adventurer	0.839	0.868	0.781
adventures	0.764	0.749	0.812
adventurous	0.898	0.722	0.969
adversary	0.777	0.457	0.349
adverse	0.61	0.385	0.323
adversity	0.76	0.538	0.276
advertise	0.529	0.58	0.5
advertisement	0.566	0.539	0.6
advertising	0.608	0.632	0.622
adverts	0.5	0.595	0.551
advice	0.408	0.688	0.698
advisable	0.48	0.51	0.867
advise	0.393	0.705	0.76
advised	0.33	0.509	0.823
advisement	0.235	0.655	0.698
adviser	0.362	0.705	0.745
advisor	0.35	0.689	0.646
advisory	0.429	0.633	0.656
advocacy	0.646	0.731	0.5
advocate	0.53	0.818	0.551
aegis	0.439	0.462	0.49
aeration	0.5	0.433	0.55
aerial	0.461	0.463	0.615
aerobics	0.771	0.627	0.708
aerodrome	0.74	0.678	0.541
aerodynamic	0.724	0.728	0.561
aerodynamics	0.663	0.722	0.59
aeronautics	0.633	0.688	0.551
aeroplane	0.642	0.644	0.714
aerospace	0.52	0.779	0.643
aesthetic	0.442	0.526	0.708
aesthetics	0.327	0.549	0.847
aetiology	0.398	0.615	0.48
afar	0.373	0.358	0.396
affable	0.38	0.452	0.704
affair	0.459	0.657	0.52
affect	0.569	0.578	0.458
affecting	0.574	0.394	0.35
affection	0.559	0.696	0.898
affectionate	0.422	0.55	0.949
affections	0.547	0.655	0.76
affiche	0.265	0.402	0.479
affidavit	0.584	0.526	0.469
affiliated	0.519	0.535	0.673
affiliation	0.594	0.5	0.615
affinity	0.5	0.537	0.8
affirm	0.509	0.731	0.745
affirmation	0.5	0.689	0.75
affirmative	0.589	0.816	0.854
affirmatively	0.5	0.811	0.908
affix	0.335	0.411	0.438
afflict	0.555	0.293	0.302
afflicted	0.5	0.167	0.271
affliction	0.635	0.392	0.294
affluence	0.618	0.722	0.663
affluent	0.388	0.477	0.756
afford	0.58	0.575	0.571
affordable	0.398	0.493	0.84
affront	0.74	0.547	0.327
affronted	0.75	0.527	0.385
afield	0.37	0.373	0.594
afire	0.904	0.675	0.367
afloat	0.427	0.444	0.602
afore	0.337	0.382	0.5
aforementioned	0.316	0.408	0.49
aforesaid	0.358	0.478	0.531
afraid	0.775	0.245	0.01
afresh	0.521	0.48	0.643
african	0.423	0.555	0.49
aft	0.417	0.518	0.48
afterlife	0.567	0.568	0.571
aftermath	0.449	0.444	0.312
afternoon	0.388	0.339	0.533
aftershave	0.384	0.415	0.406
aftertaste	0.362	0.455	0.354
afterthought	0.392	0.349	0.396
aga	0.327	0.398	0.542
agape	0.529	0.464	0.612
agate	0.377	0.483	0.54
age	0.226	0.498	0.561
aged	0.365	0.236	0.135
agency	0.296	0.583	0.46
agenda	0.296	0.553	0.531
agent	0.439	0.755	0.48
agglomeration	0.765	0.509	0.45
aggravate	0.77	0.464	0.224
aggravated	0.76	0.43	0.079
aggravates	0.778	0.357	0.108
aggravating	0.794	0.64	0.257
aggravation	0.784	0.613	0.071
aggregate	0.378	0.556	0.73
aggregation	0.517	0.694	0.583
aggresive	0.971	0.639	0.059
aggression	0.929	0.533	0.094
aggressive	0.949	0.648	0.125
aggressively	0.926	0.688	0.25
aggressiveness	0.913	0.648	0.077
aggressor	0.948	0.823	0.146
agh	0.5	0.4	0.26
aghast	0.865	0.464	0.133
aghhh	0.635	0.243	0.281
agile	0.657	0.775	0.8
agility	0.702	0.815	0.72
aging	0.255	0.284	0.214
agitate	0.796	0.593	0.3
agitated	0.882	0.491	0.444
agitation	0.931	0.447	0.24
aglow	0.51	0.797	0.78
agnostic	0.396	0.574	0.306
ago	0.28	0.404	0.317
agonizing	0.8	0.34	0.083
agony	0.775	0.393	0.083
agoraphobia	0.712	0.438	0.127
agree	0.26	0.545	0.906
agreeable	0.5	0.696	0.906
agreed	0.449	0.574	0.797
agreeing	0.48	0.557	0.854
agreement	0.44	0.736	0.76
agressive	0.918	0.751	0.083
agricultural	0.321	0.473	0.686
agriculture	0.357	0.465	0.64
aground	0.34	0.445	0.333
agua	0.18	0.436	0.598
ahead	0.52	0.673	0.708
ahhh	0.517	0.241	0.562
ahhhhhhhh	0.649	0.288	0.552
ahoy	0.497	0.38	0.5
aid	0.491	0.541	0.796
aide	0.342	0.434	0.724
aiding	0.533	0.569	0.643
aids	0.48	0.5	0.561
ail	0.434	0.385	0.375
ailing	0.518	0.153	0.094
ailment	0.734	0.277	0.146
aim	0.569	0.567	0.481
aimless	0.267	0.183	0.15
air	0.163	0.427	0.708
airbag	0.402	0.433	0.51
airborne	0.519	0.385	0.542
aircraft	0.644	0.691	0.646
aircraft carrier	0.74	0.727	0.49
airfield	0.65	0.645	0.601
airhead	0.481	0.276	0.271
airlift	0.622	0.642	0.573
airline	0.482	0.688	0.65
airliner	0.777	0.647	0.667
airlock	0.52	0.447	0.398
airman	0.716	0.721	0.587
airplane	0.702	0.708	0.719
airport	0.684	0.682	0.729
airs	0.196	0.37	0.583
airship	0.472	0.529	0.542
airspace	0.51	0.64	0.562
airspeed	0.78	0.544	0.583
airstrip	0.69	0.649	0.55
airtight	0.381	0.57	0.479
airway	0.585	0.482	0.638
aisle	0.222	0.283	0.438
ait	0.39	0.402	0.385
ajar	0.413	0.446	0.46
aka	0.358	0.351	0.459
akin	0.343	0.523	0.639
alabaster	0.404	0.445	0.542
alarm	0.882	0.698	0.241
alarm clock	0.727	0.642	0.542
alarmed	0.822	0.492	0.188
alarming	0.89	0.585	0.204
alas	0.31	0.279	0.571
alb	0.38	0.427	0.521
albatross	0.445	0.527	0.5
albino	0.24	0.358	0.5
album	0.349	0.453	0.635
alchemy	0.583	0.693	0.541
alcohol	0.667	0.377	0.323
alcoholic	0.688	0.361	0.153
alcoholism	0.779	0.407	0.061
alcove	0.34	0.356	0.49
alderman	0.459	0.691	0.55
ale	0.45	0.358	0.53
alert	0.82	0.648	0.479
alertness	0.875	0.75	0.375
alerts	0.804	0.673	0.337
alfalfa	0.25	0.311	0.546
algebra	0.34	0.565	0.44
algebraic	0.412	0.441	0.531
algorithm	0.394	0.559	0.448
alias	0.353	0.333	0.541
alibi	0.528	0.556	0.396
alien	0.615	0.491	0.41
alienate	0.5	0.523	0.247
alienated	0.423	0.559	0.41
alienation	0.53	0.462	0.378
alight	0.657	0.605	0.667
align	0.364	0.627	0.656
aligned	0.275	0.553	0.583
alignment	0.412	0.683	0.643
alike	0.173	0.444	0.653
alimentation	0.551	0.602	0.781
alimony	0.477	0.464	0.612
aliquot	0.31	0.404	0.44
alive	0.637	0.731	0.816
alkali	0.35	0.408	0.49
alkaloids	0.562	0.402	0.433
allay	0.406	0.398	0.417
allegation	0.578	0.608	0.578
allege	0.482	0.587	0.418
alleged	0.522	0.52	0.365
allegiance	0.398	0.75	0.917
allegorical	0.558	0.598	0.517
allegory	0.58	0.509	0.615
allegro	0.627	0.453	0.635
allergic	0.549	0.273	0.135
allergy	0.606	0.389	0.296
alleviate	0.27	0.528	0.869
alleviation	0.2	0.491	0.735
alley	0.5	0.355	0.347
alleyway	0.471	0.382	0.357
alliance	0.473	0.769	0.696
allied	0.245	0.642	0.714
alligator	0.704	0.645	0.354
allocate	0.462	0.672	0.673
allocation	0.388	0.679	0.604
allot	0.481	0.616	0.622
allotment	0.39	0.64	0.6
allow	0.429	0.538	0.698
allowable	0.5	0.561	0.698
allowance	0.382	0.591	0.673
allowed	0.36	0.655	0.73
alloy	0.443	0.593	0.583
allsmiles	0.528	0.43	0.786
allure	0.585	0.686	0.804
alluring	0.745	0.843	0.837
allusion	0.308	0.462	0.44
alluvial	0.49	0.491	0.323
ally	0.32	0.688	0.792
almanac	0.19	0.412	0.688
almighty	0.874	0.958	0.938
almond	0.183	0.314	0.698
aloft	0.373	0.7	0.771
aloha	0.44	0.441	0.698
alone	0.167	0.216	0.333
alongside	0.333	0.347	0.458
aloof	0.423	0.302	0.189
aloud	0.713	0.75	0.458
alpha	0.34	0.755	0.708
alphabet	0.204	0.672	0.562
alphabetical	0.296	0.535	0.537
alpine	0.337	0.474	0.594
alreadyyyyy	0.717	0.351	0.592
altar	0.387	0.635	0.724
altar boy	0.206	0.35	0.434
alter	0.694	0.654	0.333
alteration	0.798	0.609	0.167
altercation	0.806	0.5	0.17
altered	0.765	0.5	0.255
alternate	0.363	0.589	0.625
alternating	0.494	0.542	0.48
alternative	0.373	0.631	0.628
altimeter	0.51	0.58	0.615
altitude	0.482	0.736	0.708
alto	0.404	0.73	0.656
altogether	0.324	0.644	0.833
aluminum	0.28	0.434	0.449
alumnus	0.368	0.422	0.633
alveolar	0.481	0.367	0.469
alzheimers	0.518	0.319	0.194
amalgam	0.333	0.51	0.438
amalgamation	0.47	0.531	0.406
amaretto	0.551	0.375	0.543
amass	0.465	0.465	0.552
amateur	0.5	0.409	0.469
amaze	0.843	0.783	0.896
amazed	0.779	0.533	0.796
amazedness	0.872	0.51	0.827
amazement	0.8	0.639	0.75
amazing	0.837	0.849	0.906
amazingly	0.765	0.92	0.918
ambassador	0.529	0.917	0.651
amber	0.308	0.369	0.635
ambience	0.356	0.426	0.735
ambient	0.36	0.582	0.625
ambiguity	0.46	0.37	0.164
ambiguous	0.462	0.358	0.265
ambit	0.38	0.386	0.479
ambition	0.804	0.661	0.51
ambitious	0.821	0.717	0.484
ambivalent	0.404	0.482	0.51
ambrosia	0.452	0.48	0.571
ambulance	0.75	0.609	0.5
ambush	0.83	0.5	0.281
ameliorate	0.548	0.747	0.77
amen	0.182	0.542	0.781
amenable	0.41	0.406	0.448
amend	0.406	0.658	0.688
amendment	0.459	0.606	0.531
amends	0.366	0.517	0.64
amenity	0.327	0.574	0.75
amethyst	0.406	0.517	0.622
amiable	0.29	0.483	0.847
amicable	0.33	0.507	0.875
amid	0.34	0.256	0.51
amidst	0.33	0.316	0.48
amino	0.402	0.433	0.551
ammo	0.765	0.621	0.323
ammonia	0.587	0.409	0.292
ammonium	0.396	0.368	0.354
ammunition	0.635	0.667	0.338
amnesia	0.33	0.308	0.296
amnesty	0.451	0.814	0.551
amorous	0.67	0.636	0.844
amorphous	0.402	0.349	0.327
amortization	0.491	0.522	0.592
amount	0.422	0.649	0.562
amour	0.48	0.652	0.865
amp	0.393	0.375	0.439
ampersand	0.448	0.483	0.48
amphetamines	0.667	0.526	0.133
amphibian	0.357	0.474	0.427
amphibious	0.346	0.445	0.479
