****Dialogues from script :10_things_i_hate_about_you.txt****

rider		Hey -- sorry.
kat		Leave it
bianca		Did you change your hair?
bianca		You might wanna think about it
boy		 Hey, Bianca.
girl		Awesome shoes.
miss perky		I'm sure you won't find Padua any different than your old school.  Same little asswipe mother-fuckers everywhere.
miss perky		 Any questions?
cameron		I don't think so, ma'am
miss perky		Then go forth.  Scoot   I've got deviants to see.
miss perky		 Patrick Verona.  I see we're making our visits a weekly ritual.
patrick		I missed you.
miss perky		It says here you exposed yourself to a group of freshmen girls.
patrick		It was a bratwurst.  I was eating lunch.
miss perky		With the teeth of your zipper?
michael		You the new guy?
cameron		So they tell me...
michael		C'mon.  I'm supposed to give you the tour.
michael		 So -- which Dakota you from?
cameron		North, actually.  How'd you   ?
michael		I was kidding. People actually live there?
cameron		Yeah.  A couple.  We're outnumbered by the cows, though.
michael		How many people were in your old school?
cameron		Thirty-two.
michael		Get out!
cameron		How many people go here?
michael		Couple thousand. Most of them evil
michael		We've got your basic beautiful people. Unless they talk to you first, don't bother.
michael		 Those 're your cowboys.
cameron		That I'm used to.
michael		Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.
michael		 To the right, we have the Coffee Kids. Very edgy.  Don't make any sudden movements around them.
michael		And these delusionals are the White Rastae.
michael		 Big Marley fans.  Think they're black. Semi-political, but mostly, they watch a lot of Wild Kingdom, if you know what I mean.
michael		 Derek - save some for after lunch, bub?
derek		 Michael, my brother, peace
cameron		So where do you fit in all this?
michael		Future MBAs-  We're all Ivy League, already accepted.  Someday I'll be sipping Merlot while those guys --
michael		 are fixing my Saab.  Yuppie greed is back, my friend.
cameron		That girl -- I --
michael		You burn, you pine, you perish?
cameron		Who is she?
michael		Bianca Stratford.  Sophomore. Don't even think about it
cameron		Why not?
michael		I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.
kat		Why didn't we just read the Hardy Boys?
kat		This book is about a guy and his fishing habit.  Not exactly a crucial topic.
kat		 Frankly, I'm baffled as to why we still revere Hemingway.  He was an abusive, alcoholic misogynist who had a lot of cats.
joey		As opposed to a bitter self-righteous hag who has no friends?
kat		I guess the school board thinks because Hemingway's male and an asshole, he's worthy of our time
kat		 What about Colette?  Charlotte Bronte? Simone de Beauvoir?
patrick		Mother Goose?
miss perky		Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.
kat		Expressing my opinion is not a terrorist action.
miss perky		Well, yes, compared to your other choices of expression this year, today's events are quite mild.  By the way, Bobby Rictor's gonad retrieval operation went quite well, in case you're interested.
kat		I still maintain that he kicked himself in the balls.  I was merely a spectator.
miss perky		The point is Kat -- people perceive you as somewhat ...
kat		Tempestuous?
miss perky		No ... I believe "heinous bitch" is the term used most often.
miss perky		 You might want to work on that
kat		As always, thank you for your excellent guidance.
bianca		Not really.
