****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
gang boss		 Maybe you should chew on my FIST!!
warrior		 Enough talk. Let's FIGHT! SHASHABOOEY!
ninja cat		MY EYES!
gator		HE'S TOO AWESOME!
smitten bunny		And ATTRACTIVE!
grateful bunny		How can we repay you??
warrior		There is no charge for awesomeness, or attractiveness.
warrior		KABLOOEY!
3.		NARRATOR  Even the most heroic heroes in all of China, the Furious Five, bowed in respect to this great master.
monkey		We should hang out.
warrior		Agreed.
monkey		Po! Get up!
tigress		You'll be late for work!
po		Whu?
po		Uh, nothing!
po		Coming!
po		Sorry, Dad.
po's dad		Sorry doesn't make the noodles.
po		Oh, nothing. Just had a crazy dream.
po's dad		About what?
po		Huh?
po's dad		The dream. What were you dreaming about?
po		What was I... eh, I was dreaming about uh... heh...
po's dad		Noodles. You were really dreaming about noodles?
po		Uh, yeah. What else would I be dreaming about?
po's dad		Oh, happy day! My son, finally having the noodle dream!
po		Uh...a sign of what?
po's dad		You are almost ready to be entrusted with the secret ingredient of my "Secret Ingredient Soup." And then you will fulfill your destiny and take over the restaurant, just as I took it over from my father, who took it over from his father, who won it from a friend in a game of mahjong.
po		Dad Dad Dad, it was just a dream.
po's dad		No, it was the dream. We are noodle folk. Broth runs through our veins.
po		But Dad, didn't you ever, I dunno, want to do something else? Something besides noodles?
po's dad		Actually...
po		So why didn't you?!
po's dad		Oh, because it was a stupid dream. Can you imagine, me making tofu?  No. We all have our place in this world. Mine is here. And yours is--
po		I know. Is here.
po's dad		No, it's at tables two, five, seven, and twelve.
shifu		Well done, students... if you were trying to disappoint me.
zeng		Master Shifu!
shifu		 What?!
zeng		 Aah! It's Master Oogway. He wants to see you.
shifu		Master Oogway? You summoned me.
oogway		Why must something be wrong for me to want to see my old friend?
shifu		So... nothing's wrong?
oogway		Well, I didn't say that.
shifu		You were saying?
oogway		I have had a vision... Tai Lung will return.
shifu		That is impossible. He is in prison.
oogway		Nothing is impossible.
shifu		Zeng!
zeng		Yes, Master Shifu.
oogway		One often meets his destiny on the road he takes to avoid it.
shifu		We have to do something. We can't just let him march on the valley, and take his revenge! He'll, he'll--
oogway		Your mind is like this water, my friend. When it is agitated, it becomes difficult to see. But if you allow it to settle, the answer becomes clear.
shifu		The Dragon Scroll...
oogway		It is time.
shifu		But who? Who is worthy to be trusted with the secret to limitless power? To become...the Dragon Warrior?!
oogway		I don't know.
po		Oop...sorry.
angry patron		Hey! Watch it, Po!
po		Sorry. Suck it up.
disgusted patron		Ugh!
po		Oop! Sorry! A thousand pardons.
po's dad		Po! Where are you going?
po		To the...Jade Palace?
po's dad		But you're forgetting your noodle cart! The whole valley will be there, and you'll sell noodles to all of them.
po		Selling noodles? But Dad, you know, I was kinda thinking maybe I...
po's dad		Yeah?
po		I was kinda thinking maybe I...
po's dad		Uh huh?
po		...Could also sell the bean buns. They are about to go bad.
po's dad		That's my boy! I told you that dream was a sign!
po		Yeah, ha ha, glad I had it.
po		Come on! Come on, ya-- Almost there...
kg shaw		Sorry, Po.
jr shaw		We'll bring you back a souvenir.
po		No. I'll bring me back a souvenir.
shifu		It is an historic day, isn't it, Master Oogway?
oogway		Yes, and one I feared I would not live to see. Are your students ready?
shifu		Yes, Master Oogway.
oogway		Now know this, old friend. Whomever I choose will not only bring peace to the Valley, but also to you.
announcer		Let the tournament begin!
po		 Yeah!
shifu		Citizens of the Valley of Peace! It is my great honor to present to you... Tigress! Viper! Crane! Monkey! Mantis! The Furious Five!
po		The Furious Five!
shifu		Warriors prepare!
po		Peeky-hole!
shifu		Ready for battle!
po		Yeah! Woo! The Thousand Tongues of Fire!
pig fan		Whoa! Look at that.
po		Hey, get out of the way!
shifu		And finally...Master Tigress!
po		I KNOW!!
oogway		I sense the Dragon Warrior is among us.
shifu		Citizens of the Valley of Peace! Master Oogway will now choose... the Dragon Warrior!
po		Huh? Oh no! Wait!
po		What does it look like I'm doing? Stop! Stop! I'm going to see the Dragon Warrior!
po's dad		But I don't understand. You finally had the noodle dream.
po		I lied. I don't dream about noodles, Dad!
po's dad		Come on, son. Let's get back to work.
po		Okay.
po's dad		Oh! Come back!
crowd		Oooh! Aaahh!
po		Uh oh...
po		What's going on? Where...uh? What are you pointing--?
oogway		How interesting.
tigress		Master, are you pointing at...me?
oogway		Him.
po		Who--?
oogway		You.
po		Me?
oogway		The universe has brought us the Dragon Warrior!
po		What?
furious five		What??
shifu		What???
po's dad		WHAT????
shifu		Stop! Wait! Who told you to--?
oogway		There are no accidents.
tigress		Forgive us, Master. We have failed you.
shifu		No. If the panda has not quit by morning, then I will have failed you.
zeng		Wait wait wait! I bring a message from Master Shifu.
commander		What?!?!  "Double the guard?! Extra precautions?! Your prison may not be adequate!"
